1,1,2.9046,8.1974,6.7413,1,0.3219,0.10798,0.10133,1,0.09077,0.062391,0.84087,0,17.229,1,3,4,28.782,2,1,28.782,0,0,0.16905,2,0,0
1,1,2.9046,8.1974,6.7413,1,0.3219,0.10798,0.10133,1,0.09077,0.062391,0.84087,0,17.229,1,3,4,28.782,2,1,28.782,0,0,0.16905,2,0,1
1,1,2.9046,8.1974,6.7413,1,0.3219,0.10798,0.10133,1,0.09077,0.062391,0.84087,0,17.229,1,3,4,28.782,2,1,28.782,0,0,0.16905,2,0,0
2,1,4.0255,0.34268,7.3988,1,0.81925,0.96214,0.080496,1,0.33138,0.72636,0.13781,0,15.156,2,2,4,29.782,3,1,29.782,0,0,1,2,0,0
2,1,4.0255,0.34268,7.3988,1,0.81925,0.96214,0.080496,1,0.33138,0.72636,0.13781,0,15.156,2,2,4,29.782,3,1,29.782,0,0,1,2,0,0
2,1,4.0255,0.34268,7.3988,1,0.81925,0.96214,0.080496,1,0.33138,0.72636,0.13781,0,15.156,2,2,4,29.782,3,1,29.782,0,0,1,2,0,1
3,1,8.6206,5.1616,3.8498,1,0.54633,0.32375,0.2023,1,0.77629,0.79495,0.95346,0,13.099,2,2,2,29.782,3,1,29.782,0,0,0.89004,2,0,0
3,1,8.6206,5.1616,3.8498,1,0.54633,0.32375,0.2023,1,0.77629,0.79495,0.95346,0,13.099,2,2,2,29.782,3,1,29.782,0,0,0.89004,2,0,0
3,1,8.6206,5.1616,3.8498,1,0.54633,0.32375,0.2023,1,0.77629,0.79495,0.95346,0,13.099,2,2,2,29.782,3,1,29.782,0,0,0.89004,2,0,1
4,1,6.1474,6.5333,6.5893,1,0.39732,0.55497,0.94414,1,0.82783,0.26002,0.6801,1,13.37,1,2,2,12.782,3,0,29.782,1,1,0.88668,1,0,0
4,1,6.1474,6.5333,6.5893,1,0.39732,0.55497,0.94414,1,0.82783,0.26002,0.6801,1,13.37,1,2,2,12.782,3,0,29.782,1,1,0.88668,1,0,0
4,1,6.1474,6.5333,6.5893,1,0.39732,0.55497,0.94414,1,0.82783,0.26002,0.6801,1,13.37,1,2,2,12.782,3,0,29.782,1,1,0.88668,1,1,1
5,1,9.9119,7.5413,0.19448,1,0.25874,0.86992,0.56534,1,0.055975,0.41319,0.53861,1,13.442,1,2,3,28.301,1,0,29.782,1,1,0.64851,2,0,1
5,1,9.9119,7.5413,0.19448,1,0.25874,0.86992,0.56534,1,0.055975,0.41319,0.53861,1,13.442,1,2,3,28.301,1,0,29.782,1,1,0.64851,2,1,0
5,1,9.9119,7.5413,0.19448,1,0.25874,0.86992,0.56534,1,0.055975,0.41319,0.53861,1,13.442,1,2,3,28.301,1,0,29.782,1,1,0.64851,2,0,0
6,1,2.037,2.8,5.9829,1,0.59301,0.4259,0.44035,1,0.30575,0.93986,0.93863,0,18.933,1,2,3,26.082,2,0,29.782,1,0,0.38672,1,0,0
